name,short_meaning,img
Knight of Cups,"This card represents a man with an emotional, sensitive personality, likely born between October 13th and November 11th. He wants you to",c12.jpg
Queen of Cups,"This card represents a woman with an emotional, deeply spiritual nature. She uses emotional and spiritual appeals to sway others to her point of view",c13.jpg
King of Cups,"This card represents an older man with a gentle, sensitive presence, likely born between February 9th and March 10th. He is known",c14.jpg
Ace of Swords,Stop wavering and do what you know is best. Applying ruthless or twisted logic. Gloating over your own superior intellect,s01.jpg
Two of Swords,You're stuck for now; let time pass before taking action. Refusing to make a decision without getting the facts. Exploring both,s02.jpg
Three of Swords,"Breakups and infidelity abound. What hurts now, though, will turn out to be good for you later on. Exercising",s03.jpg
Four of Swords,"Don't make any decision now. Wait, and you'll be glad you did. Thinking over your plans before putting them into action.",s04.jpg
Five of Swords,"Someone is stealing from you, financially or romantically. Be wary of friends who talk behind your back. Acting in your own best interest",s05.jpg
Six of Swords,"You'll soon go on a long journey over water. Actions have unexpected consequences, so be prepared. Making the best of a bad situation",s06.jpg
Seven of Swords,"Don't assume people around you are worthy of your trust. Ask for an accounting of where people have been, and what they've been",s07.jpg
Eight of Swords,Get over playing the victim. Honoring limits. Respecting the rules. Deciding to go on a diet for your health's sake,s08.jpg
Nine of Swords,"If you take the action you're considering now, you'll be sorry in the future. Refusing to worry about what you cannot control",s09.jpg
Ten of Swords,Put off plans and do not take action until omens are better. Paying attention to what your body is trying to tell you.,s10.jpg
Page of Swords,"This card represents a young man or woman with an airy, intellectual demeanor, likely born a Capricorn, Aquarius, or",s11.jpg
Knight of Swords,A blunder leads someone to say something he or she regrets. Be prepared to apologize and move on.,s12.jpg
Queen of Swords,"This card represents a woman with an artistic, intellectual nature. She uses clever, positive communication to sway others to her point of view.",s13.jpg
King of Swords,"This card represents an older man with an insightful, deliberate spirit. He is known for his integrity and sharp decision-making ability.",s14.jpg
Ace of Wands,"Someone has the ""hots"" for you. A new job offer is coming your way. Walk softly, and carry a big stick.",w01.jpg
Two of Wands,Don't be mealy-mouthed; say what you think and do what you want to do. Having a choice. Off,w02.jpg
Three of Wands,"Knowing what to do, but refusing to do it. Launching a project without a clear definition of who should do what. Reject",w03.jpg
Four of Wands,Someone is watching and evaluating your work. Sharing in a great celebration. Working together toward a common goal. Giving or winning awards.,w04.jpg
Five of Wands,"Remember: once you let words loose, you can't take them back. Calmly expressing a dissenting opinion. Allowing someone to use",w05.jpg
Six of Wands,Watch out for envious friends. Allowing your achievements to inflate your ego. Craving to be the center of attention. Giving,w06.jpg
Seven of Wands,Don't be surprised by a personal attack. Prepare to defend yourself or someone you love. Refusing to be silenced through fear or intimidation,w07.jpg
Eight of Wands,Watch for a surprising letter in the mail. Your whole world is about to be turned on its ear. Moving forward with a plan as,w08.jpg
Nine of Wands,The test you're facing now is happening for one reason: to show you who your real friends are. Don't relax yet; there,w09.jpg
Ten of Wands,Knowing and being honest about your own limits. Recognizing when you are not well-suited for a particular task. Refusing to,w10.jpg
Page of Wands,"This card represents a young man or woman with a fiery, enthusiastic demeanor, likely born a Cancer, Leo, or Virgo. Le",w11.jpg
Knight of Wands,"This card represents a man with a bold, passionate personality, likely born between July 12th and August 11th, who wants to sweep",w12.jpg
Queen of Wands,"This card represents a woman with an attractive, appealing personality, likely born between March 11th and April 20th. She wants to charm",w13.jpg
King of Wands,"This card represents an older man with a commanding, charismatic personality. He is likely born between November 13th and December 12th. He",w14.jpg
Ace of Pentacles,The check you're looking for really is in the mail. Outlining a plan for achieving prosperity. Realizing you have everything you need,p01.jpg
Two of Pentacles,It's time to balance the budget. Avoid the temptation to spend critical funds on frivolous goods. Weighing options. Comparing prices,p02.jpg
Three of Pentacles,"A high-dollar contract is in your future. If you work hard, you'll succeed. Finishing a project. Performing according",p03.jpg
Four of Pentacles,A rainy day is coming—it's time to save. Fasting as part of a spiritual practice. Abstaining from sex as,p04.jpg
Five of Pentacles,Finances are getting tighter. Prepare for a setback. Recognize your needs and take action to fulfill them. Embracing the aid,p05.jpg
Six of Pentacles,"When you need help, ask for it. Remember: what you receive may be limited by what you've given to others in the past",p06.jpg
Seven of Pentacles,Things won't work out as expected. Pick up the pieces and prepare to move on. Measuring progress toward your goal. Looking at,p07.jpg
Eight of Pentacles,"Stop over-analyzing, researching, and outlining. Buckle down and get the work done. Bringing enthusiasm and zeal to your work",p08.jpg
Nine of Pentacles,"Until you appreciate what you have, you won't have any luck getting more. Investing time in learning or teaching a difficult task.",p09.jpg
Ten of Pentacles,Big money is in the near future. Expect a powerful blessing to come your way. Celebrating your physical and financial blessings. Being satisfied,p10.jpg
Page of Pentacles,"This card represents a young man or woman with an earthy, practical demeanor, likely born an Aries, Taurus, or Gemini",p11.jpg
Knight of Pentacles,A stingy person may chide you for spending money. Be prepared to defend an economic or sexual decision. Knowing where every dollar goes,p12.jpg
Queen of Pentacles,"This card represents a woman with an expansive, sensual nature. She uses sensual appeal and the promise of reward to sway others to",p13.jpg
King of Pentacles,"This card represents an older man with a financially, socially, and politically conservative spirit. This man is known for putting his money where his",p14.jpg
